episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
106,0.899424648075924,-0.36137830451098696,-0.3757111047332819,-209.0,-207.0467289719626,21304
107,0.8985256729903055,-0.37493910323606927,-0.37570395657127065,-209.0,-207.0648148148148,21505
108,0.8976275964304349,-0.34600793524122875,-0.37543151600860974,-209.0,-207.08256880733944,21706
109,0.8967304174982355,-0.3687911874294144,-0.37537114938516253,-209.0,-207.1,21907
110,0.8958341352965282,-0.42086983836799374,-0.37578104748410696,-209.0,-207.11711711711712,22108
111,0.894938748929031,-0.4297266890604559,-0.37626270499818154,-209.0,-207.13392857142858,22307
112,0.8940442575003572,-0.4411444226186726,-0.37683687949039824,-209.0,-207.1504424778761,22508
113,0.8931506601160155,-0.431452015804541,-0.3773159596335047,-209.0,-207.16666666666666,22709
114,0.8922579558824083,-0.4358973482319813,-0.37782536301262193,-209.0,-207.18260869565216,22910
115,0.8913661439068313,-0.42125527301415777,-0.37819975878849726,-209.0,-207.19827586206895,23111
116,0.8904752232974726,-0.4601508717135697,-0.3789001956511047,-209.0,-207.2136752136752,23312
117,0.8895851931634113,-0.4141059726218087,-0.37919854969322936,-209.0,-207.22881355932202,23513
118,0.8886960526146174,-0.4074364273306551,-0.37943584278261955,-209.0,-207.2436974789916,23714
119,0.8878078007619501,-0.4855937718630554,-0.38032049219162317,-209.0,-207.25833333333333,23915
120,0.8869204367171575,-0.44570264765860723,-0.38086084058391234,-209.0,-207.27272727272728,24116
121,0.8860339595928756,-0.26139093384475304,-0.3798815790532635,-209.0,-207.28688524590163,24317
122,0.8851483685026271,-0.3975334473461176,-0.3800250901775956,-209.0,-207.3008130081301,24518
123,0.8842636625608209,-0.4236985715016498,-0.38037729567214446,-209.0,-207.31451612903226,24719
124,0.8833798408827509,-0.4534667036668057,-0.38096201093610177,-209.0,-207.328,24920
125,0.8824969025845955,-0.35750830839888387,-0.3807758704397746,-209.0,-207.34126984126985,25121
126,0.8816148467834161,-0.4867458099418774,-0.38161027941223213,-209.0,-207.35433070866142,25322
127,0.880733672597157,-0.2319060307359384,-0.3804407149694486,-209.0,-207.3671875,25523
128,0.8798533791446438,-0.44831617420799186,-0.38096688132013495,-209.0,-207.3798449612403,25724
129,0.8789739655455832,-0.45394613309764237,-0.38152826017996194,-209.0,-207.3923076923077,25925
130,0.8780954309205613,-0.3681124381016825,-0.38142584932440254,-209.0,-207.40458015267177,26126
131,0.8772177743910435,-0.28230284926024957,-0.38067491750573473,-209.0,-207.41666666666666,26327
132,0.8763409950793732,-0.46294498283443003,-0.38129348942549934,-209.0,-207.42857142857142,26528
133,0.8754650921087711,-0.3266258391315243,-0.38088552188599206,-209.0,-207.4402985074627,26729
134,0.874590064603334,-0.45380505892964856,-0.38142566660483396,-209.0,-207.45185185185184,26930
135,0.8737159116880344,-0.48822425759938726,-0.3822109503621468,-209.0,-207.46323529411765,27130
136,0.8728426324887193,-0.4062485709354446,-0.38238640744662344,-209.0,-207.47445255474452,27331
137,0.8719702261321094,-0.4077236146261821,-0.3825700103972,-209.0,-207.4855072463768,27532
138,0.8710986917457983,-0.18769459410991324,-0.38116802898506125,-209.0,-207.49640287769785,27733
139,0.8702280284582515,-0.3026074629507156,-0.3806068820848159,-209.0,-207.50714285714287,27933
140,0.8693582353988059,-0.37284299919556846,-0.38055181908560143,-209.0,-207.5177304964539,28134
141,0.8684893116976679,-0.4345734225960954,-0.3809322529131401,-209.0,-207.5281690140845,28335
142,0.867621256485914,-0.38140692264357234,-0.38093557228188435,-209.0,-207.53846153846155,28536
143,0.8667540688954889,-0.3169979222203874,-0.38049156082312396,-209.0,-207.54861111111111,28737
144,0.865887748059205,-0.3359081362786065,-0.3801840889297135,-209.0,-207.55862068965519,28938
145,0.8650222931107413,-0.43597349436330884,-0.3805662081450121,-209.0,-207.56849315068493,29139
146,0.8641577031846428,-0.3820824281094531,-0.38057652256653896,-209.0,-207.57823129251702,29340
147,0.8632939774163194,-0.313770167351204,-0.3801251282745434,-209.0,-207.58783783783784,29541
148,0.8624311149420455,-0.4193235305318282,-0.3803882047997601,-209.0,-207.59731543624162,29742
149,0.8615691148989583,-0.4191316647334038,-0.38064649453265104,-209.0,-207.60666666666665,29943
150,0.8607079764250578,-0.3205471559437068,-0.3802484856678236,-209.0,-207.6158940397351,30144
151,0.8598476986592055,-0.3235020013574776,-0.37987515353420287,-209.0,-207.625,30345
152,0.8589882807411234,-0.47321652759560995,-0.38048522787447353,-209.0,-207.63398692810458,30546
153,0.8581297218113938,-0.45973857314716193,-0.3809998599866339,-209.0,-207.64285714285714,30747
154,0.8572720210114575,-0.37501549548476415,-0.380961251183396,-209.0,-207.6516129032258,30948
155,0.8564151774836135,-0.43009291902120844,-0.3812761977720999,-209.0,-207.6602564102564,31149
156,0.8555591903710185,-0.4083674058481404,-0.3814487532375524,-209.0,-207.6687898089172,31350
157,0.8547040588176851,-0.4601348384740971,-0.38194676643525205,-209.0,-207.6772151898734,31551
158,0.8538497819684817,-0.362723636728784,-0.3818258662484189,-209.0,-207.68553459119497,31752
159,0.8529963589691315,-0.3952740852279808,-0.3819099176170412,-209.0,-207.69375,31953
160,0.8521437889662113,-0.37029866268346795,-0.38183779802118045,-209.0,-207.70186335403727,32154
161,0.8512920711071511,-0.3655499113615782,-0.38173725551093596,-209.0,-207.70987654320987,32355
162,0.850441204540233,-0.37984892426761613,-0.38172567065668245,-209.0,-207.71779141104295,32556
163,0.8495911884145902,-0.3067424629788525,-0.38126845597572007,-209.0,-207.72560975609755,32757
164,0.8487420218802068,-0.3325203807544326,-0.38097301309559106,-209.0,-207.73333333333332,32958
165,0.8478937040879159,-0.39954975247183744,-0.3810849211641227,-209.0,-207.74096385542168,33159
166,0.8470462341893996,-0.3583923783046418,-0.3809490376739461,-209.0,-207.74850299401197,33360
167,0.8461996113371882,-0.4025497834352042,-0.38107761354157266,-209.0,-207.75595238095238,33561
168,0.8453538346846587,-0.4538232409190528,-0.38150806104084767,-209.0,-207.76331360946745,33762
169,0.8445089033860343,-0.39024342625675457,-0.38155944554211774,-209.0,-207.77058823529413,33963
170,0.8436648165963837,-0.3041396233663495,-0.3811066980440138,-209.0,-207.77777777777777,34164
171,0.8428215734716199,-0.4735489490038999,-0.38164415299145504,-209.0,-207.78488372093022,34364
172,0.8419791731684999,-0.4219831317484004,-0.38187732627906745,-209.0,-207.79190751445086,34565
173,0.8411376148446232,-0.4109220839317831,-0.38204425017362326,-209.0,-207.79885057471265,34766
174,0.8402968976584314,-0.399186452552382,-0.3821422056157876,-209.0,-207.8057142857143,34966
175,0.8394570207692074,-0.2656502784270083,-0.38148031966585133,-209.0,-207.8125,35167
176,0.838617983337074,-0.37472625693375267,-0.3814421611193423,-209.0,-207.819209039548,35368
177,0.8377797845229938,-0.44965188223450986,-0.3818253617997646,-209.0,-207.82584269662922,35568
178,0.8369424234887681,-0.43779455647491355,-0.38213803886498887,-209.0,-207.83240223463687,35769
179,0.8361058993970355,-0.38748908549125627,-0.3821677669018015,-209.0,-207.8388888888889,35970
180,0.835270211411272,-0.42791876551368796,-0.3824205348499334,-209.0,-207.84530386740332,36171
181,0.8344353586957896,-0.4210792067507207,-0.38263294513510254,-209.0,-207.85164835164835,36372
182,0.8336013404157353,-0.41212439001878864,-0.38279410057162544,-209.0,-207.85792349726776,36573
183,0.832768155737091,-0.4395564012960642,-0.38310259133643215,-209.0,-207.8641304347826,36774
184,0.8319358038266718,-0.3282649165514844,-0.3828061714727297,-209.0,-207.87027027027028,36975
185,0.8311042838521256,-0.47948835983817034,-0.38332596818437187,-209.0,-207.8763440860215,37176
186,0.8302735949819326,-0.39032939183261006,-0.38336341964773146,-209.0,-207.88235294117646,37377
187,0.8294437363854039,-0.45928934365865026,-0.38376728094566187,-209.0,-207.88829787234042,37578
188,0.8286147072326806,-0.3454652760449973,-0.3835646248350763,-209.0,-207.8941798941799,37779
189,0.8277865066947336,-0.3263177096225008,-0.38326332528132595,-209.0,-207.9,37980
190,0.8269591339433623,-0.4405818677715589,-0.38356342236242663,-209.0,-207.90575916230367,38181
191,0.8261325881511938,-0.38584928821521586,-0.3835753279137432,-209.0,-207.91145833333334,38382
192,0.8253068684916823,-0.40703731817441524,-0.38369689263011975,-209.0,-207.91709844559585,38583
193,0.8244819741391082,-0.3720714312289445,-0.3836369675713508,-209.0,-207.92268041237114,38784
194,0.8236579042685769,-0.4387225667072739,-0.38391945782332987,-209.0,-207.92820512820512,38985
195,0.8228346580560184,-0.3362481159929832,-0.38367623669154244,-209.0,-207.93367346938774,39185
196,0.8220122346781865,-0.3863684758901461,-0.38368990288036786,-209.0,-207.93908629441626,39386
197,0.821190633312658,-0.45824650806488776,-0.3840664513914008,-209.0,-207.94444444444446,39587
198,0.8203698531378311,-0.3908733175748628,-0.3841006567491066,-209.0,-207.9497487437186,39788
199,0.8195498933329256,-0.3960891749795417,-0.38416059934025876,-209.0,-207.955,39988
200,0.8187307530779818,-0.30174297031172115,-0.3837505613848929,-209.0,-207.96019900497512,40189
201,0.8179124315538594,-0.33741741386564317,-0.3835211893674708,-209.0,-207.96534653465346,40390
202,0.8170949279422366,-0.392202867300024,-0.3835639562538381,-209.0,-207.9704433497537,40591
203,0.8162782414256099,-0.4101484229039544,-0.3836942722668289,-209.0,-207.97549019607843,40792
204,0.8154623711872927,-0.3910828058534309,-0.3837303138940806,-209.0,-207.98048780487804,40993
205,0.8146473164114145,-0.4351285944758637,-0.383979820110497,-209.0,-207.98543689320388,41192
206,0.8138330762829207,-0.4236712272396383,-0.38417156603865715,-209.0,-207.9903381642512,41393
207,0.813019649987571,-0.40249826103360575,-0.3842596751492098,-209.0,-207.99519230769232,41593
208,0.812207036711939,-0.39377366235547867,-0.38430519661909623,-209.0,-208.0,41793
209,0.8113952356434114,-0.3836654137787306,-0.38430215003414214,-209.0,-208.0047619047619,41994
210,0.8105842459701871,-0.4220888441325297,-0.38448123389242833,-209.0,-208.00947867298578,42195
211,0.8097740668812763,-0.39739072151050586,-0.38454212770194757,-209.0,-208.01415094339623,42396
212,0.8089646975664998,-0.3078601767565224,-0.38418211854257933,-209.0,-208.018779342723,42597
213,0.8081561372164884,-0.4672018324570334,-0.38457006113096465,-209.0,-208.02336448598132,42797
214,0.8073483850226815,-0.4729523506042271,-0.3849811415471194,-209.0,-208.0279069767442,42998
215,0.8065414401773269,-0.4195762256379223,-0.3851413039734657,-209.0,-208.03240740740742,43199
216,0.8057353018734796,-0.39767121165368785,-0.3851990454835128,-209.0,-208.036866359447,43400
217,0.8049299693050015,-0.43072954763893767,-0.3854079009979872,-209.0,-208.04128440366972,43601
218,0.8041254416665596,-0.3396400977629314,-0.38519891559508745,-209.0,-208.0456621004566,43802
219,0.8033217181536265,-0.38572991851507543,-0.3852013292447238,-209.0,-208.05,44003
220,0.8025187979624785,-0.44165088758186233,-0.3854567571105027,-209.0,-208.05429864253395,44204
221,0.8017166802901953,-0.33280589424271156,-0.3852195910615487,-209.0,-208.05855855855856,44405
222,0.8009153643346592,-0.3765303849143079,-0.385180626011561,-209.0,-208.0627802690583,44606
223,0.8001148492945541,-0.4305248690409642,-0.3853830556679423,-209.0,-208.06696428571428,44807
224,0.7993151343693651,-0.4153074763234425,-0.38551605309307785,-209.0,-208.07111111111112,45008
225,0.7985162187593771,-0.3579665816755792,-0.38539415277707123,-209.0,-208.07522123893804,45209
226,0.7977181016656743,-0.456971679328935,-0.38570947227729974,-209.0,-208.07929515418502,45409
227,0.7969207822901396,-0.42079322247492795,-0.38586334837465774,-209.0,-208.08333333333334,45610
228,0.7961242598354538,-0.3967162170512238,-0.3859107408142934,-209.0,-208.0873362445415,45811
229,0.7953285335050939,-0.44234847188381243,-0.3861561222537261,-209.0,-208.09130434782608,46012
230,0.794533602503334,-0.4579245893970331,-0.3864668082586755,-209.0,-208.0952380952381,46213
231,0.7937394660352427,-0.39900601839215105,-0.3865208565782164,-209.0,-208.09913793103448,46414
232,0.7929461233066837,-0.45816562449008047,-0.3868283448525162,-209.0,-208.10300429184548,46615
233,0.792153573524314,-0.30885528434504245,-0.3864951266452193,-209.0,-208.10683760683762,46816
234,0.7913618158955839,-0.3770872576905244,-0.3864550931603057,-209.0,-208.11063829787233,47017
235,0.7905708496287356,-0.48818675546809537,-0.3868861595260166,-209.0,-208.114406779661,47216
236,0.7897806739328027,-0.2888660519410654,-0.38647257257418144,-209.0,-208.11814345991561,47417
237,0.7889912880176096,-0.43730115000619113,-0.38668613802557644,-209.0,-208.1218487394958,47618
238,0.7882026910937704,-0.4105661197461484,-0.3867860542670851,-209.0,-208.1255230125523,47819
239,0.7874148823726879,-0.4183303705984985,-0.386917488918466,-209.0,-208.12916666666666,48020
240,0.7866278610665535,-0.45341774058214235,-0.3871934235726721,-209.0,-208.13278008298755,48221
241,0.7858416263883455,-0.38308947480134864,-0.3871764651066749,-209.0,-208.13636363636363,48422
242,0.7850561775518295,-0.4164367979856636,-0.38729687799918106,-209.0,-208.13991769547326,48623
243,0.7842715137715565,-0.46184702307661374,-0.38760241138064594,-209.0,-208.14344262295083,48824
244,0.7834876342628625,-0.33292564517093637,-0.3873792409063206,-209.0,-208.1469387755102,49024
245,0.7827045382418681,-0.414994002747763,-0.38749149603575733,-209.0,-208.15040650406505,49225
246,0.7819222249254772,-0.3480211720687771,-0.38733169715329996,-209.0,-208.15384615384616,49426
247,0.7811406935313765,-0.393860722518505,-0.3873580238684823,-209.0,-208.15725806451613,49627
248,0.7803599432780343,-0.4138684331562122,-0.3874644913756619,-209.0,-208.1606425702811,49828
249,0.7795799733847004,-0.46107646306785854,-0.38775893926243066,-209.0,-208.164,50029
250,0.7788007830714049,-0.34375570763920016,-0.38758362758265685,-209.0,-208.16733067729083,50230
251,0.7780223715589573,-0.4151185724564821,-0.387692893236918,-209.0,-208.1706349206349,50429
252,0.7772447380689461,-0.4662175342038714,-0.3880032673118863,-209.0,-208.17391304347825,50629
253,0.7764678818237378,-0.4026318736520563,-0.3880608602502334,-209.0,-208.1771653543307,50830
254,0.775691802046476,-0.4318834872278718,-0.3882327136893614,-209.0,-208.18039215686275,51031
255,0.774916497961081,-0.4618658113512478,-0.38852034297710314,-209.0,-208.18359375,51231
256,0.7741419687922484,-0.42153408855782415,-0.3886488011311137,-209.0,-208.18677042801556,51432
257,0.7733682137654491,-0.3893437291154531,-0.38865149465043286,-209.0,-208.18992248062017,51633
258,0.772595232106928,-0.41356625658615226,-0.3887476906424627,-209.0,-208.1930501930502,51834
259,0.7718230230437034,-0.37281561560475984,-0.3886864134307792,-209.0,-208.19615384615383,52035
260,0.7710515858035663,-0.3514647510475605,-0.3885438016975101,-209.0,-208.1992337164751,52235
261,0.7702809196150792,-0.3591483580399328,-0.38843160534767207,-209.0,-208.20229007633588,52436
262,0.7695110237075758,-0.3064995256124787,-0.38812007652738617,-209.0,-208.20532319391634,52637
263,0.7687418973111603,-0.35084253471817656,-0.38797887371750284,-209.0,-208.20833333333334,52838
